TRU,START_DATE,END_DATE,STATUS_DESCRIPTION,STREET_ACTIVITY,PREMISE_NO,STREET_NAME,BOROUGH,ZIP_CODE,FACILITY_AKA,FACILITY_TYPE,BIN,BLOCK,LOT,CROSS_STREET_ON,CROSS_STREET_BETWEEN,CROSS_STREET_AND,BUILDING_OWNER_NAME,CONTRACTOR_NAME,AIR_MONITOR_NAME,ENTIRE_FLOOR,FLOOR,SECTION,ACM_TYPE,ACM_AMOUNT,ACM_UNIT,ABATEMENT_TYPE,PROCEDURE_NAME,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA
TRU2946MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,1470,Amsterdam Avenue,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084129,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,16th,North Façade,Lintel Tar,4,Square Feet,Removal,Exterior Vertical Surface,40.817344,-73.953384,9,7,219,1019840001,Manhattanville
TRU0193BK25,02/17/2025 12:00:00 AM,02/05/2026 12:00:00 AM,Postponed,No,303,Vernon Avenue,Brooklyn,11206,NYCHA 303 Vernon Ave Houses Bldg 1,Residence,3042881,01585,0001,,,,New York City Housing Authority (NYCHA),"Abatement Unlimited, Inc.","Airtek Environmental, LLC",No,9,Elevator A Lobby,VAT & Mastic,5,Square Feet,Removal,DEP Variance,40.695732,-73.939607,3,36,283,3015850001,Stuyvesant Heights
TRU1600BX24,02/06/2025 12:00:00 AM,12/12/2025 12:00:00 AM,Postponed,No,1050,Soundview Avenue,Bronx,10472,"NYCHA , Sotomayor Houses Bld. #6",Residence,2092789,03723,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,4 - 6,"Exterior Façade Elevations #11,13,14,15",Lintel Membrane/Mastic,300,Square Feet,Removal,Exterior Vertical Surface,40.826106,-73.871081,9,18,44,2037230001,Soundview-Bruckner
TRU2261BK24,02/04/2025 12:00:00 AM,11/11/2025 12:00:00 AM,Postponed,No,470,DeKalb Avenue,Brooklyn,11205,"NYCHA -Lafayette Houses, Bld. #3",Residence,3346319,01938,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,12,Exterior Façade Elevation #13,Contaminated Window Sill as ACM,88,Square Feet,Removal,Exterior Vertical Surface,40.690588,-73.958131,3,35,233,3019380001,Bedford
TRU0189BK25,02/13/2025 12:00:00 AM,02/04/2026 12:00:00 AM,Postponed,No,30,Glenmore Avenue,Brooklyn,11212,"NYCHA 2413067 Howard, Bld. #1",Residence,3339436,03489,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,3,Exterior Facade - Elevations #9 - 12,Bricks Contaminated with ACM Caulking,1,Square Feet,Removal,Exterior Vertical Surface,40.671149,-73.909708,16,41,906,3034890001,Brownsville
TRU2946MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,1470,Amsterdam Avenue,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084129,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,11th,West Façade,Lintel Tar,12,Square Feet,Removal,Exterior Vertical Surface,40.817344,-73.953384,9,7,219,1019840001,Manhattanville
TRU0267BK25,02/27/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,60,Glenmore Avenue,Brooklyn,11212,"NYCHA 2413067 Howard, Bld. #6",Residence,3348343,03489,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,7,Exterior Facade - Elevations #7 - 9,Window Sill Caulking,2,Square Feet,Removal,Exterior Vertical Surface,40.671261,-73.908937,16,41,906,3034890001,Brownsville
TRU0848BK23,06/05/2023 12:00:00 AM,04/29/2024 12:00:00 AM,Postponed,No,330,Dumont Avenue,Brooklyn,11212,"Tilden Houses, Bldg #2",Residence,3326543,03576,0001,,,,New York City Housing Authority (NYCHA),"Empire Control Abatement, Inc.",Genesis Environmental Consultants Inc.,No,14,Apartment C,Floor tile and mastic,3,Square Feet,Removal,DEP Variance,40.664292,-73.907984,16,41,912,3035760001,Brownsville
TRU2665MN24,02/03/2025 12:00:00 AM,10/31/2025 12:00:00 AM,Postponed,No,2135,Madison Avenue,Manhattan,10037,"Lincoln Houses, Building 6.",Residence,1081122,01757,0020,,,,New York City Housing Authority (NYCHA),T L D Services Inc,"Airtek Environmental, LLC",No,Main Roof,East & West Bulkhead/Stack Walls,Mastic on Brick above metal counter sheets,220,Square Feet,Removal,Exterior Vertical Surface,40.811361,-73.936529,11,9,210,1017570020,East Harlem North
TRU0267BK25,02/27/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,60,Glenmore Avenue,Brooklyn,11212,"NYCHA 2413067 Howard, Bld. #6",Residence,3348343,03489,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,12,Exterior Facade - Elevations #1 - 3,Window Sill Caulking,1,Square Feet,Removal,Exterior Vertical Surface,40.671261,-73.908937,16,41,906,3034890001,Brownsville
TRU2158BK24,12/11/2024 12:00:00 AM,10/23/2025 12:00:00 AM,Postponed,No,93,Lewis Avenue,Brooklyn,11206,"NYCHA 2413061 Roosevelt II, Bld. #7",Residence,3043112,01595,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,"Airtek Environmental, LLC",No,3,"Exterior Facade - Elevations #1,2,3,4,7,8",Window Sill Caulking,15,Square Feet,Removal,Exterior Vertical Surface,40.694251,-73.937282,3,36,287,3015950001,Stuyvesant Heights
TRU0147BX25,03/04/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,3603,3rd Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #6",Residence,2092082,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,8,Exterior Facade - Elevations #7,Window Sill Caulking,1,Square Feet,Removal,Exterior Vertical Surface,40.83308,-73.904809,3,16,14701,2029100001,Claremont-Bathgate
TRU0149BX25,02/25/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,1358,Washington Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #8",Residence,2092084,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,3,Exterior Facade - Elevations #2,Tar / Flashing at Spandrel Beam,3,Square Feet,Removal,Exterior Vertical Surface,40.834307,-73.905201,3,16,14701,2029100001,Claremont-Bathgate
TRU3058MN24,01/28/2025 12:00:00 AM,12/22/2025 12:00:00 AM,Postponed,No,177,Nagle Avenue,Manhattan,10034,Dyckman Houses Bldg.#1,Residence,1080027,02216,0001,,,,New York City Housing Authority (NYCHA),Zoria Housing LLC,"Airtek Environmental, LLC",No,9,Exterior Façade Elevation  #7,Contaminated Brick,23,Square Feet,Removal,Exterior Vertical Surface,40.861686,-73.92446,12,10,299,1022160001,Marble Hill-Inwood
TRU2946MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,1470,Amsterdam Avenue,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084129,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,6th,Northeast Façade,Lintel Tar,12,Square Feet,Removal,Exterior Vertical Surface,40.817344,-73.953384,9,7,219,1019840001,Manhattanville
TRU2445BK24,01/29/2025 12:00:00 AM,12/09/2025 12:00:00 AM,Postponed,No,393,Dumont Avenue,Brooklyn,11212,"NYCHA Van Dyke, Bld. #12",Residence,3328045,03777,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,3,Exterior Façade Elevation #9,Tar/Flashing,15,Square Feet,Removal,Exterior Vertical Surface,40.664767,-73.904901,16,41,910,3037770001,Brownsville
TRU3094MN24,02/28/2025 12:00:00 AM,12/30/2025 12:00:00 AM,Postponed,No,260,West 131st Street,Manhattan,10027,St. Nicholas Houses Bldg. 10,Residence,1081512,01933,0050,,,,New York City Housing Authority (NYCHA),FCS Group LLC,"Airtek Environmental, LLC",No,11th,Apt. 11F/G - Kitchen,Concealed Vertical Pipe Insulation,10,Linear Feet,Removal,Tent,40.813746,-73.947978,10,9,224,1019330050,Central Harlem North-Polo Grounds
TRU0806MN20,06/08/2020 12:00:00 AM,05/21/2021 12:00:00 AM,Postponed,No,920,East 6th Street,Manhattan,10009,"GR1700529 Lilian Wald, Building #10",Residence,1078052,00356,0001,,,,New York City Housing Authority (NYCHA),"ETS Contracting, Inc.",Genesis Environmental Consultants Inc.,No,7TH FLOOR,EXTERIOR FACADES,EXTERIOR WATERPROOFING,2,Square Feet,Removal,Exterior Vertical Surface,40.72193,-73.975573,3,2,20,1003560001,Lower East Side
TRU3093MN24,02/28/2025 12:00:00 AM,12/30/2025 12:00:00 AM,Postponed,No,220,West 131st Street,Manhattan,10027,St. Nicholas Houses Bldg. 12,Residence,1081514,01933,0050,,,,New York City Housing Authority (NYCHA),FCS Group LLC,"Airtek Environmental, LLC",No,5th,Apt. 5G/H - Bathroom,Concealed Vertical Pipe Insulation,20,Linear Feet,Removal,Tent,40.813142,-73.946537,10,9,224,1019330050,Central Harlem North-Polo Grounds
TRU1988BK24,01/27/2025 12:00:00 AM,09/25/2025 12:00:00 AM,Postponed,No,235,Hoyt Street,Brooklyn,11217,Gowanus Houses Building#11,Residence,3336072,00404,0001,,,,New York City Housing Authority (NYCHA),"Atco Contracting Group, Inc.",Genesis Environmental Consultants Inc.,No,Basement,Boiler Room,Boiler Breeching Insulation,3000,Square Feet,Removal,Full Containment,40.683182,-73.990074,6,33,71,3004040001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
TRU2946MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,1470,Amsterdam Avenue,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084129,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,17th,East Façade,Lintel Tar,4,Square Feet,Removal,Exterior Vertical Surface,40.817344,-73.953384,9,7,219,1019840001,Manhattanville
TRU2258BK23,03/02/2024 12:00:00 AM,11/18/2024 12:00:00 AM,Postponed,No,2738,86 Street,Brooklyn,11223,NYCHA 124851-1 Marlboro Houses Bldg#29,Residence,3322185,07140,0016,,,,New York City Housing Authority (NYCHA),Vestar Inc.,Genesis Environmental Consultants Inc.,No,BSMT,Interior - Boiler#3,Air Cell Pipe Insulation & Elbow Insulation,74,Linear Feet,Removal,DEP Variance,40.593981,-73.9807,13,47,382,3071400016,Gravesend
TRU0254SI24,12/16/2024 12:00:00 AM,10/23/2025 12:00:00 AM,Postponed,No,263,Westwood Avenue,Staten Island,10314,Building 4 Stairhall 8 NYCHA Todt Hill,Residence,5108965,00706,0001,,,,New York City Housing Authority (NYCHA),JVN Restoration Inc.,"Airtek Environmental, LLC",No,1,Apt. 1B Bathroom,Exposed Vertical Pipe Insulation,30,Linear Feet,Removal,Tent,40.606549,-74.118926,2,49,173,5007060001,New Springville-Bloomfield-Travis
TRU1380BX24,11/25/2024 12:00:00 AM,10/16/2025 12:00:00 AM,Postponed,No,1720,Watson Avenue,Bronx,10472,"NYCHA Sotomayor Houses , Bld. #10",Residence,2092793,03723,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,1 - 6,Exterior Façade Elevations #7-10,Lintel Membrane/Mastic,382,Square Feet,Removal,Exterior Vertical Surface,40.827279,-73.869258,9,18,44,2037230001,Soundview-Bruckner
TRU0148BX25,02/26/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,1372,Washington Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #9",Residence,2092085,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,Roof,Bulkhead,Tar / Flashing at Spandrel Beam,8,Square Feet,Removal,Exterior Vertical Surface,40.834554,-73.905063,3,16,14701,2029100001,Claremont-Bathgate
TRU2945MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,95,Old Broadway,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084130,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,8th,South Façade,Exterior Window Frame Caulking,18,Square Feet,Removal,Exterior Vertical Surface,40.818146,-73.955374,9,7,219,1019840001,Manhattanville
TRU2620MN24,02/24/2025 12:00:00 AM,10/27/2025 12:00:00 AM,Postponed,No,3758,10th Avenue,Manhattan,10034,NYCHA Dyckman Houses Bldg 6,Residence,1080032,02216,0001,,,,New York City Housing Authority (NYCHA),"Abatement Unlimited, Inc.","Sound Environmental Associates, LLC",No,9,Elevator B Lobby,VAT & Mastic,5,Square Feet,Removal,DEP Variance,40.860935,-73.921518,12,10,299,1022160001,Marble Hill-Inwood
TRU2623MN24,11/11/2024 12:00:00 AM,10/27/2025 12:00:00 AM,Postponed,No,195,Nagle Avenue,Manhattan,10034,NYCHA Dyckman Houses Bldg 3,Residence,1080029,02216,0001,,,,New York City Housing Authority (NYCHA),"Abatement Unlimited, Inc.","Sound Environmental Associates, LLC",No,7,Elevator B Lobby,VAT & Mastic,5,Square Feet,Removal,DEP Variance,40.861982,-73.92365,12,10,299,1022160001,Marble Hill-Inwood
TRU2146MN24,11/04/2024 12:00:00 AM,08/29/2025 12:00:00 AM,Postponed,No,2140,Madison Avenue,Manhattan,10037,"Lincoln Houses, Building 14.",Residence,1081113,01757,0001,,,,New York City Housing Authority (NYCHA),T L D Services Inc,"Airtek Environmental, LLC",No,Main Roof,Bulkhead,Exterior Door Frame Caulking,2,Square Feet,Removal,Exterior Vertical Surface,40.811608,-73.93638,11,9,210,1017570001,East Harlem North
TRU0848BK23,06/05/2023 12:00:00 AM,04/29/2024 12:00:00 AM,Postponed,No,330,Dumont Avenue,Brooklyn,11212,"Tilden Houses, Bldg #2",Residence,3326543,03576,0001,,,,New York City Housing Authority (NYCHA),"Empire Control Abatement, Inc.",Genesis Environmental Consultants Inc.,No,10,Apartment F,Floor tile and mastic,3,Square Feet,Removal,DEP Variance,40.664292,-73.907984,16,41,912,3035760001,Brownsville
TRU0148BX25,02/26/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,1372,Washington Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #9",Residence,2092085,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,1,Exterior Facade - Elevations #4,Tar / Flashing at Spandrel Beam,3,Square Feet,Removal,Exterior Vertical Surface,40.834554,-73.905063,3,16,14701,2029100001,Claremont-Bathgate
TRU2946MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,1470,Amsterdam Avenue,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084129,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,16th,Southwest Façade,Lintel Tar,4,Square Feet,Removal,Exterior Vertical Surface,40.817344,-73.953384,9,7,219,1019840001,Manhattanville
TRU0148BX25,02/26/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,1372,Washington Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #9",Residence,2092085,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,1,Exterior Facade - Elevations #2,Window Caulking,2,Square Feet,Removal,Exterior Vertical Surface,40.834554,-73.905063,3,16,14701,2029100001,Claremont-Bathgate
TRU0272BK25,02/21/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,1548,East New York Avenue,Brooklyn,11212,"NYCHA 2413067 Howard, Bld. #3",Residence,3339433,03489,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,12,Exterior Facade - Elevations #18 - 21,Bricks Contaminated with ACM Caulking,1,Square Feet,Removal,Exterior Vertical Surface,40.672152,-73.911145,16,41,906,3034890001,Brownsville
TRU0147BX25,03/04/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,3603,3rd Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #6",Residence,2092082,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,11,Exterior Facade - Elevations #3,Tar / Flashing at Spandrel Beam,3,Square Feet,Removal,Exterior Vertical Surface,40.83308,-73.904809,3,16,14701,2029100001,Claremont-Bathgate
TRU0148BX25,02/26/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,1372,Washington Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #9",Residence,2092085,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,17,Exterior Facade - Elevations #3,Tar / Flashing at Spandrel Beam,3,Square Feet,Removal,Exterior Vertical Surface,40.834554,-73.905063,3,16,14701,2029100001,Claremont-Bathgate
TRU0927BX24,07/30/2024 12:00:00 AM,07/10/2025 12:00:00 AM,Postponed,No,1343,Washington Avenue,Bronx,10456,"NYCHA 2323701 Morris I, Bld. #4",Residence,2092099,02901,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,"Airtek Environmental, LLC",No,Roof,Main Roof,Vent Stack Flashing,10,Square Feet,Removal,Exterior Foam,40.833885,-73.905462,3,16,14701,2029010001,Claremont-Bathgate
TRU1997BK19,01/03/2020 12:00:00 AM,11/25/2020 12:00:00 AM,Postponed,No,130,Moore Street,Brooklyn,11206,"NYCHA BW1830617 Bushwick Houses, Building #8",Residence,3338434,03129,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,12,Exterior Facade - Elevations #1 - 26,Tar / Flashing at Lintel / Spandrel Beam,7,Square Feet,Removal,Exterior Vertical Surface,40.703939,-73.940418,1,34,489,3031290001,Bushwick South
TRU0150BX25,03/06/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,1350,Washington Avenue,Bronx,10456,"NYCHA 2413060 Morris I, Bld. #7",Residence,2092083,02910,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,12,Exterior Facade - Elevations #1,Bricks Contaminated with ACM Tar / Flashing,2,Square Feet,Removal,Exterior Vertical Surface,40.834096,-73.90532,3,16,14701,2029100001,Claremont-Bathgate
TRU2261BK24,02/04/2025 12:00:00 AM,11/11/2025 12:00:00 AM,Postponed,No,470,DeKalb Avenue,Brooklyn,11205,"NYCHA -Lafayette Houses, Bld. #3",Residence,3346319,01938,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,1-13,Exterior Façade Elevation #13,Vertical expansion joint Caulking,54,Square Feet,Removal,Exterior Vertical Surface,40.690588,-73.958131,3,35,233,3019380001,Bedford
TRU0325BK25,03/07/2025 12:00:00 AM,02/20/2026 12:00:00 AM,Postponed,No,233,Sand Street,Brooklyn,11201,"NYCHA 2413076 Farragut, Bld. #4",Residence,3325908,00071,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,5,Exterior Facade - Elevations #14 - 25,Window Caulking,4,Square Feet,Removal,Exterior Vertical Surface,40.699726,-73.980998,2,35,23,3000710001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
TRU2946MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,1470,Amsterdam Avenue,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084129,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,3rd,East Façade,Exterior Window Frame Caulking,3,Square Feet,Removal,Exterior Vertical Surface,40.817344,-73.953384,9,7,219,1019840001,Manhattanville
TRU3054MN24,02/11/2025 12:00:00 AM,12/22/2025 12:00:00 AM,Postponed,No,3758,10th Avenue,Manhattan,10034,Dyckman Houses Bldg.#6,Residence,1080032,02216,0001,,,,New York City Housing Authority (NYCHA),"Zoria Housing, LLC","Airtek Environmental, LLC",No,11 - 14,Exterior Façade Elevations #9 - 18,Tar/Flashing as ACM,972,Square Feet,Removal,Exterior Vertical Surface,40.860935,-73.921518,12,10,299,1022160001,Marble Hill-Inwood
